Base SKU,Assigned To Handles/Sizes,Total Variants
G17V1BLKL,"regular-fit-women-recycled-t-shirt-black (size L); oversized-fit-men-recycled-t-shirt-black (size L)",2
G17V1BLKXL,"regular-fit-women-recycled-t-shirt-black (size XL); oversized-fit-men-recycled-t-shirt-black (size XL)",2
G16V1WHTXS,"oversized-women-recycled-every-body-t-shirt-white (size XS); oversized-men-recycled-every-body-t-shirt-white (size XS)",2
G16V1WHTS,"oversized-women-recycled-every-body-t-shirt-white (size S); oversized-men-recycled-every-body-t-shirt-white (size S)",2
G16V1WHTM,"oversized-women-recycled-every-body-t-shirt-white (size M); oversized-men-recycled-every-body-t-shirt-white (size M)",2
G16V1WHTL,"oversized-women-recycled-every-body-t-shirt-white (size L); oversized-men-recycled-every-body-t-shirt-white (size L)",2
G16V1WHTXL,"oversized-women-recycled-every-body-t-shirt-white (size XL); oversized-men-recycled-every-body-t-shirt-white (size XL)",2
G16V1TAUPXS,"oversized-women-recycled-every-body-t-shirt-taupe (size XS); oversized-men-recycled-every-body-t-shirt-taupe (size XS)",2
G16V1TAUPS,"oversized-women-recycled-every-body-t-shirt-taupe (size S); oversized-men-recycled-every-body-t-shirt-taupe (size S)",2
G16V1TAUPM,"oversized-women-recycled-every-body-t-shirt-taupe (size M); oversized-men-recycled-every-body-t-shirt-taupe (size M)",2
G16V1TAUPL,"oversized-women-recycled-every-body-t-shirt-taupe (size L); oversized-men-recycled-every-body-t-shirt-taupe (size L)",2
G16V1TAUPXL,"oversized-women-recycled-every-body-t-shirt-taupe (size XL); oversized-men-recycled-every-body-t-shirt-taupe (size XL)",2
G16V1SGXS,"oversized-women-recycled-every-body-t-shirt-sage-green (size XS); oversized-men-recycled-every-body-t-shirt-sage-green (size XS)",2
G16V1SGS,"oversized-women-recycled-every-body-t-shirt-sage-green (size S); oversized-men-recycled-every-body-t-shirt-sage-green (size S)",2
G16V1SGM,"oversized-women-recycled-every-body-t-shirt-sage-green (size M); oversized-men-recycled-every-body-t-shirt-sage-green (size M)",2
G16V1SGL,"oversized-women-recycled-every-body-t-shirt-sage-green (size L); oversized-men-recycled-every-body-t-shirt-sage-green (size L)",2
G16V1SGXL,"oversized-women-recycled-every-body-t-shirt-sage-green (size XL); oversized-men-recycled-every-body-t-shirt-sage-green (size XL)",2
G16V1REDXS,"oversized-women-recycled-every-body-t-shirt-red (size XS); oversized-men-recycled-every-body-t-shirt-red (size XS)",2
G16V1REDS,"oversized-women-recycled-every-body-t-shirt-red (size S); oversized-men-recycled-every-body-t-shirt-red (size S)",2
G16V1REDM,"oversized-women-recycled-every-body-t-shirt-red (size M); oversized-men-recycled-every-body-t-shirt-red (size M)",2
G16V1REDL,"oversized-women-recycled-every-body-t-shirt-red (size L); oversized-men-recycled-every-body-t-shirt-red (size L)",2
G16V1REDXL,"oversized-women-recycled-every-body-t-shirt-red (size XL); oversized-men-recycled-every-body-t-shirt-red (size XL)",2
G16V1PNKXS,"oversized-women-recycled-every-body-t-shirt-pink (size XS); oversized-men-recycled-every-body-t-shirt-pink (size XS)",2
G16V1PNKS,"oversized-women-recycled-every-body-t-shirt-pink (size S); oversized-men-recycled-every-body-t-shirt-pink (size S)",2
G16V1PNKM,"oversized-women-recycled-every-body-t-shirt-pink (size M); oversized-men-recycled-every-body-t-shirt-pink (size M)",2
G16V1PNKL,"oversized-women-recycled-every-body-t-shirt-pink (size L); oversized-men-recycled-every-body-t-shirt-pink (size L)",2
G16V1PNKXL,"oversized-women-recycled-every-body-t-shirt-pink (size XL); oversized-men-recycled-every-body-t-shirt-pink (size XL)",2
G16V1PLXS,"oversized-women-recycled-every-body-t-shirt-pale-lavender (size XS); oversized-men-recycled-every-body-t-shirt-pale-lavender (size XS)",2
G16V1PLS,"oversized-women-recycled-every-body-t-shirt-pale-lavender (size S); oversized-men-recycled-every-body-t-shirt-pale-lavender (size S)",2
G16V1PLM,"oversized-women-recycled-every-body-t-shirt-pale-lavender (size M); oversized-men-recycled-every-body-t-shirt-pale-lavender (size M)",2
G16V1PLL,"oversized-women-recycled-every-body-t-shirt-pale-lavender (size L); oversized-men-recycled-every-body-t-shirt-pale-lavender (size L)",2
G16V1PLXL,"oversized-women-recycled-every-body-t-shirt-pale-lavender (size XL); oversized-men-recycled-every-body-t-shirt-pale-lavender (size XL)",2
G16V1PBXS,"oversized-women-recycled-every-body-t-shirt-pale-blue (size XS); oversized-men-recycled-every-body-t-shirt-pale-blue (size XS)",2
G16V1PBS,"oversized-women-recycled-every-body-t-shirt-pale-blue (size S); oversized-men-recycled-every-body-t-shirt-pale-blue (size S)",2
G16V1PBM,"oversized-women-recycled-every-body-t-shirt-pale-blue (size M); oversized-men-recycled-every-body-t-shirt-pale-blue (size M)",2
G16V1PBL,"oversized-women-recycled-every-body-t-shirt-pale-blue (size L); oversized-men-recycled-every-body-t-shirt-pale-blue (size L)",2
G16V1PBXL,"oversized-women-recycled-every-body-t-shirt-pale-blue (size XL); oversized-men-recycled-every-body-t-shirt-pale-blue (size XL)",2
G16V1NBXS,"oversized-women-recycled-every-body-t-shirt-navy-blue (size XS); oversized-men-recycled-every-body-t-shirt-navy-blue (size XS)",2
G16V1NBS,"oversized-women-recycled-every-body-t-shirt-navy-blue (size S); oversized-men-recycled-every-body-t-shirt-navy-blue (size S)",2
G16V1NBM,"oversized-women-recycled-every-body-t-shirt-navy-blue (size M); oversized-men-recycled-every-body-t-shirt-navy-blue (size M)",2
G16V1NBL,"oversized-women-recycled-every-body-t-shirt-navy-blue (size L); oversized-men-recycled-every-body-t-shirt-navy-blue (size L)",2
G16V1NBXL,"oversized-women-recycled-every-body-t-shirt-navy-blue (size XL); oversized-men-recycled-every-body-t-shirt-navy-blue (size XL)",2
G16V1KHKXS,"oversized-women-recycled-every-body-t-shirt-khaki (size XS); oversized-men-recycled-every-body-t-shirt-khaki (size XS)",2
G16V1KHKS,"oversized-women-recycled-every-body-t-shirt-khaki (size S); oversized-men-recycled-every-body-t-shirt-khaki (size S)",2
G16V1KHKM,"oversized-women-recycled-every-body-t-shirt-khaki (size M); oversized-men-recycled-every-body-t-shirt-khaki (size M)",2
G16V1KHKL,"oversized-women-recycled-every-body-t-shirt-khaki (size L); oversized-men-recycled-every-body-t-shirt-khaki (size L)",2
G16V1KHKXL,"oversized-women-recycled-every-body-t-shirt-khaki (size XL); oversized-men-recycled-every-body-t-shirt-khaki (size XL)",2
G16V1BLKXS,"oversized-women-recycled-every-body-t-shirt-black (size XS); oversized-men-recycled-every-body-t-shirt-black (size XS)",2
G16V1BLKS,"oversized-women-recycled-every-body-t-shirt-black (size S); oversized-men-recycled-every-body-t-shirt-black (size S)",2
G16V1BLKM,"oversized-women-recycled-every-body-t-shirt-black (size M); oversized-men-recycled-every-body-t-shirt-black (size M)",2
G16V1BLKL,"oversized-women-recycled-every-body-t-shirt-black (size L); oversized-men-recycled-every-body-t-shirt-black (size L)",2
G16V1BLKXL,"oversized-women-recycled-every-body-t-shirt-black (size XL); oversized-men-recycled-every-body-t-shirt-black (size XL)",2
G09V1WHTXS,"organic-bamboo-women-oversized-hoodie-white (size XS); organic-bamboo-men-oversized-hoodie-white (size XS)",2
G09V1WHTS,"organic-bamboo-women-oversized-hoodie-white (size S); organic-bamboo-men-oversized-hoodie-white (size S)",2
G09V1WHTM,"organic-bamboo-women-oversized-hoodie-white (size M); organic-bamboo-men-oversized-hoodie-white (size M)",2
G09V1WHTL,"organic-bamboo-women-oversized-hoodie-white (size L); organic-bamboo-men-oversized-hoodie-white (size L)",2
